ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Allow customer reviews?","Sale price","Regular price",Categories,Tags,"Shipping class",Images,Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text","Swatches Attributes",Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Meta: _oembed_2dd456273b0b28aaccb80166803af684","Meta: _oembed_3ef5ce364d5560cd41c64ee4cf017f53","Meta: _oembed_time_3ef5ce364d5560cd41c64ee4cf017f53","Meta: _oembed_6b6a49c368f1cf1f64bec9234675835b","Meta: _oembed_time_6b6a49c368f1cf1f64bec9234675835b","Meta: _oembed_cc4790564e1c731fa284472882a641be","Meta: _oembed_time_cc4790564e1c731fa284472882a641be","Meta: _oembed_2988a3eaeba6d9ca3e969e8108f158ef","Meta: _oembed_time_2988a3eaeba6d9ca3e969e8108f158ef"
105,variable,OP-VOL-01,,"One Piece",1,0,visible,"""Set sail on the greatest adventure of all time! Follow Monkey D. Luffy and his ragtag crew of Straw Hat Pirates as they traverse the Grand Line in search of the ultimate treasure—the One Piece. Along the way, they’ll face legendary foes, uncover dark secrets, and fight for their dreams. It’s more than just a quest for gold; it’s a story about freedom, loyalty, and the bond of true friendship. Are you ready to join the crew?""","https://www.youtube.com/watch?v=WNIJC40o-Lo&amp;t=7s\n<p data-path-to-node=""4,0"">""In a world dominated by the vast, unpredictable seas, a single title is sought by every pirate: the King of the Pirates. Monkey D. Luffy, a boy with a body made of rubber and a heart of gold, sets out from the East Blue to fulfill his promise and claim the legendary treasure left behind by Gol D. Roger.</p>\n<p data-path-to-node=""4,1""><i data-path-to-node=""4,1"" data-index-in-node=""0"">One Piece</i> is a sprawling epic that blends high-seas action, world-building, and profound emotional depth. As Luffy recruits unique allies—from a master swordsman to a genius navigator—each member brings their own tragic past and unwavering ambition. Prepare to laugh, cry, and be inspired by one of the greatest adventures ever told.""</p>",,,taxable,,1,,,0,0,1,,,"Anime, Anime > One Piece","One Piece",,"http://localhost/vandung1/wp-content/uploads/2026/06/5-hinh-nen-one-piece-4k-cho-dien-thoai-inkythuatso-25-16-52-30.jpg, http://localhost/vandung1/wp-content/uploads/2026/06/download2.jpg, http://localhost/vandung1/wp-content/uploads/2026/06/download-1.jpg",,,id:104,id:104,,,"{""Color999"":{""name"":""Color999"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#2165ed"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#f92222"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}","One Piece",Format,"Hardcover, Parperback, Leather",1,0,Language,"English, Vietnamese",1,0,Color999,"Blue, Green, Red, Yellow",1,1,{{unknown}},"<iframe title=""Zoro,Luffy &amp; Nami Vs Axe Hand Fight Scene 🔥 | Netflix ONE PIECE |"" width=""1052"" height=""592"" src=""https://www.youtube.com/embed/WNIJC40o-Lo?start=7&amp;feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781488642,"<iframe title=""Zoro,Luffy &amp; Nami Vs Axe Hand Fight Scene 🔥 | Netflix ONE PIECE |"" width=""1089"" height=""613"" src=""https://www.youtube.com/embed/WNIJC40o-Lo?start=7&amp;feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781488650,"<iframe title=""Zoro,Luffy &amp; Nami Vs Axe Hand Fight Scene 🔥 | Netflix ONE PIECE |"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/WNIJC40o-Lo?start=7&amp;feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781488651,"<iframe title=""Zoro,Luffy &amp; Nami Vs Axe Hand Fight Scene 🔥 | Netflix ONE PIECE |"" width=""1290"" height=""726"" src=""https://www.youtube.com/embed/WNIJC40o-Lo?start=7&amp;feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781928082
235,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,Format,Leather,,0,Language,Vietnamese,,0,Color999,Red,,1,,,,,,,,,
236,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,Format,Leather,,0,Language,Vietnamese,,0,Color999,Yellow,,1,,,,,,,,,
222,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,Format,Parperback,,0,Language,English,,0,Color999,Green,,1,,,,,,,,,
223,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,Format,Parperback,,0,Language,English,,0,Color999,Red,,1,,,,,,,,,
224,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,Format,Parperback,,0,Language,English,,0,Color999,Yellow,,1,,,,,,,,,
225,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,Format,Parperback,,0,Language,Vietnamese,,0,Color999,Blue,,1,,,,,,,,,
226,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,Format,Parperback,,0,Language,Vietnamese,,0,Color999,Green,,1,,,,,,,,,
227,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,Format,Parperback,,0,Language,Vietnamese,,0,Color999,Red,,1,,,,,,,,,
228,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,Format,Parperback,,0,Language,Vietnamese,,0,Color999,Yellow,,1,,,,,,,,,
